Mot,Ligne,Colonne,Page,identifiant,
JE,1,1,accueil,je@accueil,
TU,2,1,accueil,tu@accueil,
ÇA,3,1,accueil,ça@accueil,
PERSONNES,4,1,accueil,personnes@accueil,
,,,personnes@accueil,personnes,
ÊTRE,1,2,accueil,être@accueil,
ARRÊTER,2,2,accueil,arrêter@accueil,
REGARDER,3,2,accueil,regarder@accueil,
CHOSES,4,2,accueil,choses@accueil,
,,,choses@accueil,choses,
VOULOIR,1,3,accueil,vouloir@accueil,
ALLER,2,3,accueil,aller@accueil,
AIDER,3,3,accueil,aider@accueil,
LIEUX,4,3,accueil,lieux@accueil,
,,,lieux@accueil,lieux,
AIMER,1,4,accueil,aimer@accueil,
AVOIR,2,4,accueil,avoir@accueil,
ACTIONS,3,4,accueil,actions@accueil,
,,,actions@accueil,action,
DÉCRIRE,4,4,accueil,décrire@accueil,
,,,décrire@accueil,mots_descriptifs,
FAIRE,1,5,accueil,faire@accueil,
DONNER,2,5,accueil,donner@accueil,
AVEC,3,5,accueil,avec@accueil,
PETITS MOTS,4,5,accueil,petits_mots@accueil,
,,,petits_mots@accueil,petits_mots,
QUOI,1,6,accueil,quoi@accueil,
POUR,2,6,accueil,pour@accueil,
À,3,6,accueil,à@accueil,
CHAT,4,6,accueil,chat@accueil,
,,,chat@accueil,chat,
OÙ,1,7,accueil,où@accueil,
PAS,2,7,accueil,pas@accueil,
BIEN,3,7,accueil,bien@accueil,
ACTIVITÉS,4,7,accueil,activités@accueil,
,,,activités@accueil,arts,
,,,activités@accueil,jouer_au_bowling,
,,,activités@accueil,bulles,
,,,activités@accueil,courses,
,,,activités@accueil,harry_potter,
,,,activités@accueil,repas,
,,,activités@accueil,aujourd’hui_à_l’école,
ENCORE,1,8,accueil,encore@accueil,
C’EST FINI,2,8,accueil,c’est_fini@accueil,
AIDE,3,8,accueil,aide@accueil,
,,,aide@accueil,aide,
PLUS,4,8,accueil,plus@accueil,
,,,plus@accueil,accueil_-_2,
NOURRITURE,1,1,accueil_-_2,nourriture@accueil_-_2,
,,,nourriture@accueil_-_2,nourriture,
CONJONCTIONS,2,1,accueil_-_2,conjonctions@accueil_-_2,
,,,conjonctions@accueil_-_2,conjonctions,
DIVERTISSEMENT,1,2,accueil_-_2,divertissement@accueil_-_2,
,,,divertissement@accueil_-_2,divertissement,
NOMBRES,2,2,accueil_-_2,nombres@accueil_-_2,
,,,nombres@accueil_-_2,nombres,
ÉMOTIONS,1,3,accueil_-_2,émotions@accueil_-_2,
,,,émotions@accueil_-_2 ,émotions,
ÉCOLE,2,3,accueil_-_2,école@accueil_-_2,
,,,école@accueil_-_2,école,
TEMPS,1,4,accueil_-_2,temps@accueil_-_2,
,,,temps@accueil_-_2,temps,
RELIGION,2,4,accueil_-_2,religion@accueil_-_2,
,,,religion@accueil_-_2,religion,
INDICES,1,5,accueil_-_2,indices@accueil_-_2,
,,,indices@accueil_-_2,indices,
CHOSES DE LA MAISON,2,5,accueil_-_2,choses_de_la_maison@accueil_-_2,
,,,choses_de_la_maison@accueil_-_2,choses_de_la_maison,
INTERROGER,1,6,accueil_-_2,interroger@accueil_-_2,
,,,interroger@accueil_-_2,mots_interrofatifs,
OÙ,1,7,accueil_-_2,où@accueil_-_2,
,,,où@accueil_-_2,où,
LEQUEL,1,8,accueil_-_2,lequel@accueil_-_2,
,,,lequel@accueil_-_2,lequel,
RETOUR,4,8,accueil_-_2,retour@accueil_-_2,
,,,retour@accueil_-_2,accueil,
JE,1,1,action,je@action,
TU,2,1,action,tu@action,
ÇA,3,1,action,ça@action,
PENSER,4,1,action,penser@action,
ÊTRE,1,2,action,être@action,
AVOIR BESOIN,2,2,action,avoir_besoin@action,
ÉCOUTER,3,2,action,écouter@action,
POUVOIR,4,2,action,pouvoir@action,
VOULOIR,1,3,action,vouloir@action,
BOIRE,2,3,action,boire@action,
FAUT,3,3,action,faut@action,
PRENDRE,4,3,action,prendre@action,
AIMER,1,4,action,aimer@action,
CHERCHER,2,4,action,chercher@action,
JOUER,3,4,action,jouer@action,
SAVOIR,4,4,action,savoir@action,
FAIRE,1,5,action,faire@action,
DEMANDER,2,5,action,demander@action,
MANGER,3,5,action,manger@action,
VENIR,4,5,action,venir@action,
APPELER,1,6,action,appeler@action,
DIRE,2,6,action,dire@action,
METTRE,3,6,action,mettre@action,
VOIR,4,6,action,voir@action,
APPORTER,1,7,action,apporter@action,
PAS,2,7,action,pas@action,
MONTRER,3,7,action,montrer@action,
ENCORE,1,8,action,encore@action,
C’EST FINI,2,8,action,c’est@fini@action,
