mot;ligne;colonne;page;id
I;1;1;HOME;1
YOU;2;1;HOME;2
HE;3;1;HOME;3
SHE;4;1;HOME;4
WE;5;1;HOME;5
THEY;6;1;HOME;6
IT;7;1;HOME;7
MORE;8;1;HOME;8
MY;1;2;HOME;9
YOUR;2;2;HOME;10
HIS;3;2;HOME;11
HER;4;2;HOME;12
OUR;5;2;HOME;13
THERE;6;2;HOME;14
WANT;7;2;HOME;15
FOR;8;2;HOME;16
ME ;1;3;HOME;17
ARE;2;3;HOME;18
TIME;3;3;HOME;19
COLOR;4;3;HOME;20
WORK;5;3;HOME;21
KNOW;6;3;HOME;22
FEEL;7;3;HOME;23
NEW;8;3;HOME;24
PLEASE;1;4;HOME;25
IS;2;4;HOME;26
LOOK;3;4;HOME;27
TAKE;4;4;HOME;28
FAMILY;5;4;HOME;29
RIDE;6;4;HOME;30
HEAR;7;4;HOME;31
LIKE;8;4;HOME;32
COME;1;5;HOME;33
AM;2;5;HOME;34
WEAR;3;5;HOME;35
GO;4;5;HOME;36
THINK;5;5;HOME;37
TALK;6;5;HOME;38
DO;7;5;HOME;39
NEED;8;5;HOME;40
OKAY;1;6;HOME;41
CAN;2;6;HOME;42
PLAY;3;6;HOME;43
BUY;4;6;HOME;44
GET;5;6;HOME;45
MAKE;6;6;HOME;46
TELL;7;6;HOME;47
GIVE;8;6;HOME;48
ASK;1;7;HOME;49
WILL;2;7;HOME;50
TO;3;7;HOME;51
ON;4;7;HOME;52
IN;5;7;HOME;53
AT;6;7;HOME;54
OUT;7;7;HOME;55
TURN;8;7;HOME;56
PUT;1;8;HOME;57
WAS;2;8;HOME;58
HAVE;3;8;HOME;59
READ;4;8;HOME;60
EAT;5;8;HOME;61
SIT;6;8;HOME;62
SLEEP;7;8;HOME;63
DRINK;8;8;HOME;64
+S;1;9;HOME;65
WERE;2;9;HOME;66
A;3;9;HOME;67
NOT;4;9;HOME;68
WITH;5;9;HOME;69
RIGHT;6;9;HOME;70
THAT;7;9;HOME;71
LITTLE;8;9;HOME;72
AND;1;10;HOME;73
BUT;2;10;HOME;74
SOME;3;10;HOME;75
EVERY;4;10;HOME;76
ANY;5;10;HOME;77
AWAY;6;10;HOME;78
THIS;7;10;HOME;79
BIG;8;10;HOME;80
HELP;1;11;HOME;81
WHAT;2;11;HOME;82
THE;3;11;HOME;83
COMPUTER;4;11;HOME;84
NOW;5;11;HOME;85
LATER;6;11;HOME;86
FRIEND;7;11;HOME;87
STOP;8;11;HOME;88
THING;1;12;HOME;89
SAID;2;12;HOME;90
CALL;3;12;HOME;91
LET;4;12;HOME;92
FIND;5;12;HOME;93
TRY;6;12;HOME;94
WALK;7;12;HOME;95
BE;8;12;HOME;96
OFF;1;13;HOME;97
OR;2;13;HOME;98
SO;3;13;HOME;99
FROM;4;13;HOME;100
IF;5;13;HOME;101
AS;6;13;HOME;102
OF;7;13;HOME;103
BECAUSE;8;13;HOME;104
MINE;1;14;HOME;105
THAN;2;14;HOME;106
THEN;3;14;HOME;107
WELL;4;14;HOME;108
MUCH;5;14;HOME;109
WHEN;6;14;HOME;110
WHICH;7;14;HOME;111
GOOD;8;14;HOME;112
YES;1;15;HOME;113
NO;2;15;HOME;114
UP;3;15;HOME;115
DOWN;4;15;HOME;116
ALL;5;15;HOME;117
AGAIN;6;15;HOME;118
WOULD;7;15;HOME;119
QWERTY;8;15;HOME;120
PRONOUNS;1;1;ME;121
US;5;1;ME;122
THEIRS;6;1;ME;123
ITSELF;7;1;ME;124
MYSELF;1;2;ME;125
YOURS;2;2;ME;126
HIM;3;2;ME;127
HERS;4;2;ME;128
OURS;5;2;ME;129
THEM;6;2;ME;130
ME ;1;3;ME;131
YOURSELF;2;3;ME;132
HIMSELF;3;3;ME;133
HERSELF;4;3;ME;134
OURSELVES;5;3;ME;135
THEMSELVES;6;3;ME;136
SELF;1;4;ME;137
THEIR;6;4;ME;138
MY NAME IS;1;6;ME;139
MY BIRTHDAY IS;2;7;ME;140
MY ADDRESS IS;1;8;ME;141
I AM 8 YEARS OLD.;2;9;ME;142
PHONE NUMBER;1;10;ME;143
SCHOOL;1;12;ME;144
SPEAK FOR YOURSELF;1;14;ME;145
HOME;1;15;ME;146
QWERTY;8;15;ME;147
HI;1;1;PLEASE;148
THANK YOU;2;1;PLEASE;149
HOW ARE YOU?;4;1;PLEASE;150
SORRY;8;1;PLEASE;151
HELLO;1;2;PLEASE;152
YOU’RE WELCOME;2;2;PLEASE;153
WHAT’S UP?;3;2;PLEASE;154
NICE TO MEET YOU;5;2;PLEASE;155
I’M FINE;4;3;PLEASE;156
SOUNDS GOOD;7;3;PLEASE;157
SOUNDS BAD;8;3;PLEASE;158
PLEASE;1;4;PLEASE;159
AH;2;4;PLEASE;160
WANNA CHILL?;3;4;PLEASE;161
DO YOU COME HERE OFTEN?;5;4;PLEASE;162
PLEASES;1;5;PLEASE;163
OH;2;5;PLEASE;164
I'M NOT GOOD;4;5;PLEASE;165
PLEASING;1;6;PLEASE;166
HOW’S LIFE?;3;6;PLEASE;167
LEAVE ME ALONE PLEASE;5;6;PLEASE;168
ALL GONE;8;6;PLEASE;169
PLEASED;1;7;PLEASE;170
I DON’T KNOW;4;7;PLEASE;171
NEVER MIND;3;8;PLEASE;172
OH NO;4;8;PLEASE;173
UH NO;6;8;PLEASE;174
TALK TO YA LATER;8;8;PLEASE;175
ARE YOU KIDDING ME?;2;9;PLEASE;176
