from,arrowID,to
actions_accueil,flèche@actions_accueil,accueil
actions_accueil_-_2,flèche@actions_accueil_-_2,accueil
faire_actions_accueil,flèche@faire_actions_accueil,actions_accueil_-_2
faire_actions_accueil_-_2,flèche@faire_actions_accueil_-_2,actions_-_2
penser_actions_accueil,flèche@penser_actions_accueil,actions_accueil_-_2
penser_actions_accueil_-_2,flèche@penser_actions_accueil_-_2,actions_accueil_-_2
lieu_actions_accueil,flèche@lieu_actions_accueil,actions_accueil_-_2
lieu_actions_accueil_-_2,flèche@lieu_actions_accueil_-_2,actions_accueil_-_2
émotion_actions_accueil,flèche@émotion_actions_accueil,actions_accueil_-_2
émotion_actions_accueil_-_2,flèche@émotion_actions_accueil_-_2,actions_accueil_-_2
a-z_verbes_actions_accueil,flèche@a-z_verbes_actions_accueil,actions_accueil_-_2
a-z_verbes_actions_accueil_-_2,flèche@a-z_verbes_actions_accueil_-_2,actions_accueil_-_2
o_verbes_actions_accueil,flèche@o_verbes_actions_accueil,a-z_verbes_actions_accueil
c_verbes_actions_accueil,flèche@c_verbes_actions_accueil,a-z_verbes_actions_accueil
c_verbes_actions_accueil_-_2,flèche@c_verbes_actions_accueil_-_2,a-z_verbes_actions_accueil
c_verbes_actions_accueil_-_3,flèche@ c_verbes_actions_accueil_-_3,a-z_verbes_actions_accueil
h_verbes_actions_accueil,flèche@h_verbes_actions_accueil,a-z_verbes_actions_accueil
h_verbes_actions_accueil,flèche@h_verbes_actions_accueil,a-z_verbes_actions_accueil
p_verbes_actions_accueil_-_2,flèche@p_verbes_actions_accueil_-_2,a-z_verbes_actions_accueil
p_verbes_actions_accueil_-_3,flèche@ p_verbes_actions_accueil_-_ 3,a-z_verbes_actions_accueil
d_verbes_actions_accueil,flèche@d_verbes_actions_accueil,a-z_verbes_actions_accueil
d_verbes_actions_accueil_-_2,flèche@d_verbes_actions_accueil_-_2,a-z_verbes_actions_accueil
d_verbes_actions_accueil_-_3,flèche@d_verbes_actions_accueil_-_3,a-z_verbes_actions_accueil
i_verbes_actions_accueil,flèche@i_verbes_actions_accueil,a-z_verbes_actions_accueil
q_verbes_actions_accueil,flèche@q_verbes_actions_accueil,a-z_verbes_actions_accueil
