mot,ligne,colonne,page,motID,
0,1,1,nombres_argent_choses_accueil,0@nombres_argent_choses_accueil,
0,1,1,nombres_mots_descriptifs_accueil,0@nombres_mots_descriptifs_accueil,
0,1,1,nombres_acheter_mots_descriptifs_accueil,0@nombres_acheter_mots_descriptifs_accueil,
0,1,1,nombres_argent_acheter_mots_descriptifs_accueil,0@nombres_argent_acheter_mots_descriptifs_accueil,
0,1,1,nombres_accueil,0@nombres_accueil,
0,1,1,nombres_école_accueil,0@nombres_école_accueil,
0,1,1,nombres_maths_école_accueil,0@nombres_maths_école_accueil,
0,1,1,nombres_argent_école_accueil,0@nombres_argent_école_accueil,
0,1,1,nombres_temps_accueil,0@nombres_temps_accueil,
0,1,1,nombres_clavier_indices_accueil,0@nombres_clavier_indices_accueil,
0,1,1,nombres_clavier_majuscules_indices_accueil,0@nombres_clavier_majuscules_indices_accueil,
0,1,1,nombres_quantités_mots_descriptifs_indices_accueil,0@nombres_quantités_mots_descriptifs_indices_accueil,
0,1,1,nombres_acheter_mots_descriptifs_indices_accueil,0@nombres_acheter_mots_descriptifs_indices_accueil,
0,1,1,nombres_argent_acheter_mots_descriptifs_indices_accueil,0@nombres_argent_acheter_mots_descriptifs_indices_accueil,
1,1,2,nombres_argent_choses_accueil,1@nombres_argent_choses_accueil,
1,1,2,nombres_mots_descriptifs_accueil,1@nombres_mots_descriptifs_accueil,
1,1,2,nombres_acheter_mots_descriptifs_accueil,1@nombres_acheter_mots_descriptifs_accueil,
1,1,2,nombres_argent_acheter_mots_descriptifs_accueil,1@nombres_argent_acheter_mots_descriptifs_accueil,
1,1,2,nombres_accueil,1@nombres_accueil,
1,1,2,nombres_école_accueil,1@nombres_école_accueil,
1,1,1,numéros_de_calendrier_calendrier_école_accueil,1@numéros_de_calendrier_calendrier_école_accueil,
1,1,2,nombres_maths_école_accueil,1@nombres_maths_école_accueil,
1,1,2,nombres_argent_école_accueil,1@nombres_argent_école_accueil,
1,1,2,nombres_temps_accueil,1@nombres_temps_accueil,
1,1,1,numéros_de_calendrier_calendrier_temps_accueil,1@numéros_de_calendrier_calendrier_temps_accueil,
1,1,2,nombres_clavier_indices_accueil,1@nombres_clavier_indices_accueil,
1,1,2,nombres_clavier_majuscules_indices_accueil,1@nombres_clavier_majuscules_indices_accueil,
1,1,2,nombres_quantités_mots_descriptifs_indices_accueil,1@nombres_quantités_mots_descriptifs_indices_accueil,
1,1,2,nombres_acheter_mots_descriptifs_indices_accueil,1@nombres_acheter_mots_descriptifs_indices_accueil,
1,1,2,nombres_argent_acheter_mots_descriptifs_indices_accueil,1@nombres_argent_acheter_mots_descriptifs_indices_accueil,
2,1,3,nombres_argent_choses_accueil,2@nombres_argent_choses_accueil,
2,1,3,nombres_mots_descriptifs_accueil,2@nombres_mots_descriptifs_accueil,
2,1,3,nombres_acheter_mots_descriptifs_accueil,2@nombres_acheter_mots_descriptifs_accueil,
2,1,3,nombres_argent_acheter_mots_descriptifs_accueil,2@nombres_argent_acheter_mots_descriptifs_accueil,
2,1,3,nombres_accueil,2@nombres_accueil,
2,1,3,nombres_école_accueil,2@nombres_école_accueil,
2,1,2,numéros_de_calendrier_calendrier_école_accueil,2@numéros_de_calendrier_calendrier_école_accueil,
2,1,3,nombres_maths_école_accueil,2@nombres_maths_école_accueil,
2,1,3,nombres_argent_école_accueil,2@nombres_argent_école_accueil,
2,1,3,nombres_temps_accueil,2@nombres_temps_accueil,
2,1,2,numéros_de_calendrier_calendrier_temps_accueil,2@numéros_de_calendrier_calendrier_temps_accueil,
2,1,3,nombres_clavier_indices_accueil,2@nombres_clavier_indices_accueil,
2,1,3,nombres_clavier_majuscules_indices_accueil,2@nombres_clavier_majuscules_indices_accueil,
2,1,3,nombres_quantités_mots_descriptifs_indices_accueil,2@nombres_quantités_mots_descriptifs_indices_accueil,
2,1,3,nombres_acheter_mots_descriptifs_indices_accueil,2@nombres_acheter_mots_descriptifs_indices_accueil,
2,1,3,nombres_argent_acheter_mots_descriptifs_indices_accueil,2@nombres_argent_acheter_mots_descriptifs_indices_accueil,
3,1,4,nombres_argent_choses_accueil,3@nombres_argent_choses_accueil,
3,1,4,nombres_mots_descriptifs_accueil,3@nombres_mots_descriptifs_accueil,
3,1,4,nombres_acheter_mots_descriptifs_accueil,3@nombres_acheter_mots_descriptifs_accueil,
3,1,4,nombres_argent_acheter_mots_descriptifs_accueil,3@nombres_argent_acheter_mots_descriptifs_accueil,
3,1,4,nombres_accueil,3@nombres_accueil,
3,1,4,nombres_école_accueil,3@nombres_école_accueil,
3,1,3,numéros_de_calendrier_calendrier_école_accueil,3@numéros_de_calendrier_calendrier_école_accueil,
3,1,4,nombres_maths_école_accueil,3@nombres_maths_école_accueil,
3,1,4,nombres_argent_école_accueil,3@nombres_argent_école_accueil,
3,1,4,nombres_temps_accueil,3@nombres_temps_accueil,
3,1,3,numéros_de_calendrier_calendrier_temps_accueil,3@numéros_de_calendrier_calendrier_temps_accueil,
3,1,4,nombres_clavier_indices_accueil,3@nombres_clavier_indices_accueil,
3,1,4,nombres_clavier_majuscules_indices_accueil,3@nombres_clavier_majuscules_indices_accueil,
3,1,4,nombres_quantités_mots_descriptifs_indices_accueil,3@nombres_quantités_mots_descriptifs_indices_accueil,
3,1,4,nombres_acheter_mots_descriptifs_indices_accueil,3@nombres_acheter_mots_descriptifs_indices_accueil,
3,1,4,nombres_argent_acheter_mots_descriptifs_indices_accueil,3@nombres_argent_acheter_mots_descriptifs_indices_accueil,
4,1,5,nombres_argent_choses_accueil,4@nombres_argent_choses_accueil,
4,1,5,nombres_mots_descriptifs_accueil,4@nombres_mots_descriptifs_accueil,
4,1,5,nombres_acheter_mots_descriptifs_accueil,4@nombres_acheter_mots_descriptifs_accueil,
4,1,5,nombres_argent_acheter_mots_descriptifs_accueil,4@nombres_argent_acheter_mots_descriptifs_accueil,
4,1,5,nombres_accueil,4@nombres_accueil,
4,1,5,nombres_école_accueil,4@nombres_école_accueil,
4,1,4,numéros_de_calendrier_calendrier_école_accueil,4@numéros_de_calendrier_calendrier_école_accueil,
4,1,5,nombres_maths_école_accueil,4@nombres_maths_école_accueil,
4,1,5,nombres_argent_école_accueil,4@nombres_argent_école_accueil,
4,1,5,nombres_temps_accueil,4@nombres_temps_accueil,
4,1,4,numéros_de_calendrier_calendrier_temps_accueil,4@numéros_de_calendrier_calendrier_temps_accueil,
4,1,5,nombres_clavier_indices_accueil,4@nombres_clavier_indices_accueil,
4,1,5,nombres_clavier_majuscules_indices_accueil,4@nombres_clavier_majuscules_indices_accueil,
4,1,5,nombres_quantités_mots_descriptifs_indices_accueil,4@nombres_quantités_mots_descriptifs_indices_accueil,
4,1,5,nombres_acheter_mots_descriptifs_indices_accueil,4@nombres_acheter_mots_descriptifs_indices_accueil,
4,1,5,nombres_argent_acheter_mots_descriptifs_indices_accueil,4@nombres_argent_acheter_mots_descriptifs_indices_accueil,
5,1,6,nombres_argent_choses_accueil,5@nombres_argent_choses_accueil,
5,1,6,nombres_mots_descriptifs_accueil,5@nombres_mots_descriptifs_accueil,
5,1,6,nombres_acheter_mots_descriptifs_accueil,5@nombres_acheter_mots_descriptifs_accueil,
5,1,6,nombres_argent_acheter_mots_descriptifs_accueil,5@nombres_argent_acheter_mots_descriptifs_accueil,
5,1,6,nombres_accueil,5@nombres_accueil,
5,1,6,nombres_école_accueil,5@nombres_école_accueil,
