from,to
personnes@%accueil,personnes_accueil
choses@%accueil,choses_accueil
lieux@%accueil,lieux_accueil
actions@%accueil,actions_accueil
décrire@%accueil,mots_descriptifs_accueil
petits_mots@%accueil,petits_mots_accueil
chat@%accueil,chat_accueil
activités@%accueil,activités_accueil
aide@%accueil,aide_accueil
nourriture@%accueil_-_2,nourriture_accueil
conjonctions@%accueil_-_2,conjonctions_accueil
divertissement@%accueil_-_2,divertissement_accueil
nombres@%accueil_-_2,nombres_accueil
émotions@%accueil_-_2 ,émotions_accueil
école@%accueil_-_2,école_accueil
temps@%accueil_-_2,temps_accueil
religion@%accueil_-_2,religion_accueil
indices@%accueil_-_2,indices_accueil
choses_de_la_maison@%accueil_-_2,choses_de_la_maison_accueil
interroger@%accueil_-_2,mots_interrogatifs_accueil
où@%accueil_-_2,où_accueil
lequel@%accueil_-_2,lequel_accueil
faire@%actions_accueil_-_2,faire_actions_accueil
penser@%actions_accueil_-_2,penser_actions_accueil
lieu@%actions_accueil_-_2,lieu_actions_accueil
émotion@%actions_accueil_-_2,émotion_actions_accueil
a-z_verbes_actions@%actions_accueil_-_2,a-z_verbes_actions_accueil
sentir@%actions_accueil_-_2,sentir_actions_accueil
raconter@%actions_accueil_-_2,raconter_actions_accueil
objet@%actions_accueil_-_2,objet_actions_accueil
corps@%actions_accueil_-_2,corps_actions_accueil
avoir@%actions_accueil_-_2,avoir_actions_accueil
o@%a-z_verbes_actions_accueil,o_verbes_actions_accueil
c@%a-z_verbes_actions_accueil,c_verbes_actions_accueil
h@%a-z_verbes_actions_accueil,h_verbes_actions_accueil
p@%a-z_verbes_actions_accueil,p_verbes_actions_accueil
d@%a-z_verbes_actions_accueil,d_verbes_actions_accueil
i@%a-z_verbes_actions_accueil,i_verbes_actions_accueil
q@%a-z_verbes_actions_accueil,q_verbes_actions_accueil
e@%a-z_verbes_actions_accueil,e_verbes_actions_accueil
j@%a-z_verbes_actions_accueil,j_verbes_actions_accueil
r@%a-z_verbes_actions_accueil,r_verbes_actions_accueil
f@%a-z_verbes_actions_accueil,f_verbes_actions_accueil
k@%a-z_verbes_actions_accueil,k_verbes_actions_accueil
s@%a-z_verbes_actions_accueil,s_verbes_actions_accueil
a@%a-z_verbes_actions_accueil,a_verbes_actions_accueil
g@%a-z_verbes_actions_accueil,g_verbes_actions_accueil
l@%a-z_verbes_actions_accueil,l_verbes_actions_accueil
t@%a-z_verbes_actions_accueil,t_verbes_actions_accueil
b@%a-z_verbes_actions_accueil,b_verbes_actions_accueil
m@%a-z_verbes_actions_accueil,m_verbes_actions_accueil
u@%a-z_verbes_actions_accueil,u_verbes_actions_accueil
n@%a-z_verbes_actions_accueil,n_verbes_actions_accueil
v@%a-z_verbes_actions_accueil_-_2,v_verbes_actions_accueil
w@%a-z_verbes_actions_accueil_-_2,w_verbes_actions_accueil
x@%a-z_verbes_actions_accueil_-_2,x_verbes_actions_accueil
y@%a-z_verbes_actions_accueil_-_2,y_verbes_actions_accueil
z@%a-z_verbes_actions_accueil_-_2,z_verbes_actions_accueil
il_y_a_un_problème@%aide_accueil,il_y_a_un_problème_aide_accueil
corps_humain@%aide_accueil,corps_humain_aide_accueil
produits_hygiéniques@%aide_accueil,produits_hygiéniques_aide_accueil
contacts@%aide_accueil_-_2,contacts_aide_accueil
échelle_de_douleur@%il_y_a_un_problème_aide_accueil,échelle_de_douleur_il_y_a_un_problème_aide_accueil
corps_humain@%il_y_a_un_problème_aide_accueil,corps_humain_il_y_a_un_problème_aide_accueil
médical@%il_y_a_un_problème_aide_accueil,médical_il_y_a_un_problème_aide_accueil
soins_capillaires@%produits_hygiéniques_aide_accueil_-_2,soins_capillaires_aide_accueil
maquillage@%produits_hygiéniques_aide_accueil_-_2,maquillage_aide_accueil
couleurs@%maquillage_aide_accueil,couleurs_aide_accueil
famille@%personnes_accueil,famille_personnes_accueil
amis@%personnes_accueil,amis_personnes_accueil
professeurs@%personnes_accueil,professeurs_personnes_accueil
contacts@%personnes_accueil,contacts_personnes_accueil
pronoms@%personnes_accueil,pronoms_personnes_accueil
santé@%personnes_accueil_-_2,santé_personnes_accueil
professions@%personnes_accueil_-_2,professions_personnes_accueil
chanteurs_et_musiciens@%personnes_accueil_-_2,chanteurs_et_musiciens_personnes_accueil
athlètes@%personnes_accueil_-_2,athlètes_personnes_accueil
actualité@%personnes_accueil_-_2,actualité_personnes_accueil
personnages_historiques@%personnes_accueil_-_2,personnages_historiques_personnes_accueil
acteurs@%personnes_accueil_-_2,acteurs_personnes_accueil
auteurs@%personnes_accueil_-_2,auteurs_personnes_accueil
personnages@%personnes_accueil_-_2,personnages_personnes_accueil
vêtements@%choses_accueil,vêtements_choses_accueil
ordinateur@%choses_accueil,ordinateurs_choses_accueil
produits_hygiéniques@%choses_accueil,produits_hygiéniques_choses_accueil
électronique@%choses_accueil,électronique_choses_accueil
meubles@%choses_accueil,meubles_choses_accueil
nature@%choses_accueil,nature_choses_accueil
animaux@%choses_accueil,animaux_choses_accueil
matériel_d'art_plastique@%choses_accueil,matériel_d'art_plastique_choses_accueil
véhicules@%choses_accueil,véhicules_choses_accueil
événements_spéciaux@%choses_accueil,événements_spéciaux_choses_accueil
nourriture@%choses_accueil,nourriture_choses_accueil
adaptation@%choses_accueil_-_2,adaptation_choses_accueil
médical@%choses_accueil_-_2,médical_choses_accueil
outils@%choses_accueil_-_2,outils_choses_accueil
électro-ménagers@%choses_accueil_-_2,électro-ménagers_choses_accueil
argent@%choses_accueil_-_2,argent_choses_accueil
jouets@%choses_accueil_-_2,jouets_choses_accueil
produits_de_nettoyage@%choses_accueil_-_2,produits_de_nettoyage_choses_accueil
musique@%choses_accueil_-_2,musique_choses_accueil
choses_accueil_de_printemps@%choses_accueil_-_2,choses_accueil_de_printemps_choses_accueil
films@%choses_accueil_-_2,films_choses_accueil
partis_d'immeubles@%choses_accueil_-_2,partis_d'immeubles_choses_accueil
choses_accueil_d'été@%choses_accueil_-_2,choses_accueil_d'été_choses_accueil
jeux_de_société@%choses_accueil_-_2,jeux_de_société_choses_accueil
lecture@%choses_accueil_-_2,lecture_choses_accueil
choses_accueil_d'automne@%choses_accueil_-_2,choses_accueil_d'automne_choses_accueil
choses_accueil_de_vacances@%choses_accueil_-_2,choses_accueil_de_vacances_choses_accuel
fournitures_de_bureau@%choses_accueil_-_2,fournitures_de_bureau_choses_accueil
choses_accueil_d'hiver@%choses_accueil_-_2,choses_accueil_d'hiver_choses_accueil
dans_la_maison@%choses_accueil_-_2,dans_la_maison_choses_accueil
sports@%choses_accueil_-_2,sports_choses_accueil
loisirs@%choses_accueil_-_2,loisirs_choses_accueil
pensée@%choses_accueil_-_2,pensée_choses_accueil
couleurs@%vêtements_choses_accueil,couleurs_vêtements_choses_accueil
accessoires@%vêtements_choses_accueil_-_3,accessoires_vêtements_choses_accueil
chaussures_choses_accueil@%vêtements_choses_accueil_-_3,chaussures_vêtements_choses_accueil
soins_capillaires@%produits_hygiéniques_choses_accueil_-_2,soins_capillaires_choses_accueil
maquillage@%produits_hygiéniques_choses_accueil_-_2,maquillage_choses_accueil
couleurs@%maquillage_choses_accueil,couleurs_choses_accueil
électro-ménagers@%meubles_choses_accueil_-_2,électro-ménagers_meubles_choses_accueil
animaux_domestiques@%animaux_choses_accueil_-_3,animaux_domestiques_choses_accueil
animaux_de_la_ferme@%animaux_choses_accueil_-_3,animaux_de_la_ferme_choses_accueil
animaux_sauvages@%animaux_choses_accueil_-_3,animaux_sauvages_choses_accueil
insectes@%animaux_choses_accueil_-_3,insectes_choses_accueil
animaux_marins@%animaux_choses_accueil_-_3,animaux_marins_choses_accueil
couleurs@%matériel_d'art_plastique_choses_accueil,couleurs_matériel_d'art_plastique_choses_accueil
formes@%matériel_d'art_plastique_choses_accueil,formes_matériel_d'art_plastique_choses_accueil
vacances@%événements_spéciaux_choses_accueil,vacances_choses_accueil
